Model,Test Accuracy,F1-Score,ROC-AUC,MAE,RMSE
CNN_1D_Classifier,0.6666666666666666,0.6649184149184149,0.8315972222222222,0.4166666666666667,0.7637626158259734
CNN_1D_GRU_Classifier,0.5625,0.6308646616541354,0.802662037037037,0.5625,0.9682458365518543
